FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - % unemployed,Unemployment - 95% CI - Low,Unemployment - 95% CI - High,Unemployment - Z-Score,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6093,California,Siskiyou,2011,699,9809,8701,10918,1.51,163,,,,0,162,3.5,2.2,4.8,-0.44,160,19,12,29,0.98,25,19,33,0.26,20,16,24,-0.46,37,83,1204:1,15371,52,48,55,-0.46,61.3,51,72,0.19,14.8,14.3,15.3,0.6,25,20,31,0.91,1,-0.71,0,-0.79
6095,California,Solano,2011,4091,7180,6895,7465,0.04,601,15,11,19,-0.43,599,3.7,2.9,4.4,-0.2,593,16,12,20,0.18,28,23,34,0.94,18,15,21,-0.99,337,83,1206:1,44484,56,53,58,-0.12,50.3,45,56,1.86,10.9,10.7,11,-0.53,12,10,14,-1.09,24,1.37,9,-0.51
6097,California,Sonoma,2011,4101,5444,5212,5677,-0.94,1102,15,12,19,-0.33,1096,4.2,3.5,5,0.4,1088,15,12,18,-0.01,20,17,24,-1.06,19,17,22,-0.62,501,107,931:1,71566,43,42,45,-1.19,68.1,63,73,-0.83,9.7,9.6,9.8,-0.88,13,10,15,-0.97,4,-0.44,0,-0.79
6099,California,Stanislaus,2011,5167,7716,7456,7976,0.34,1033,23,19,27,0.97,1029,4.2,3.5,4.9,0.4,1019,18,15,21,0.65,30,25,35,1.49,20,18,23,-0.35,382,75,1328:1,52350,77,75,79,1.76,57,52,62,0.86,16,15.9,16.2,0.95,20,17,23,0.04,33,2.19,25,0
6101,California,Sutter,2011,896,6465,5913,7016,-0.36,163,27,19,38,1.72,161,3.9,2.7,5.1,0.04,158,,,,0,25,19,33,0.26,24,20,28,0.64,85,92,1084:1,18879,56,53,60,-0.05,65.1,56,74,-0.38,17,16.6,17.3,1.24,22,17,26,0.33,6,-0.26,25,0
6103,California,Tehama,2011,792,8396,7591,9200,0.72,176,27,18,37,1.62,175,6.1,3.9,8.2,2.71,173,23,15,34,1.92,24,18,31,-0.19,22,19,26,0.13,24,39,2548:1,19517,59,56,63,0.21,59.4,51,68,0.48,14.1,13.7,14.5,0.4,26,20,32,0.93,4,-0.44,34,0.28
6105,California,Trinity,2011,247,12338,10010,15045,2.93,51,,,,0,50,4.7,1.8,7.5,1.01,51,,,,0,23,16,33,-0.24,21,17,26,-0.14,6,43,2336:1,4188,70,61,78,1.12,51.9,36,68,1.62,17.3,16.2,18.3,1.33,32,24,40,1.84,19,0.92,0,-0.79
6107,California,Tulare,2011,4178,8440,8134,8746,0.75,741,25,21,30,1.4,735,4.7,3.8,5.6,1.01,721,20,15,25,1.12,32,26,38,1.84,22,19,25,0.05,226,54,1869:1,64929,77,75,79,1.76,60.6,56,65,0.3,15.3,15.1,15.4,0.75,31,27,35,1.71,12,0.29,104,2.5
6109,California,Tuolumne,2011,743,8289,7379,9198,0.66,180,15,10,23,-0.31,179,4.1,2.7,5.6,0.28,174,24,16,34,2.15,22,17,29,-0.51,18,14,22,-0.99,45,81,1236:1,18558,47,44,51,-0.83,75.5,65,86,-1.96,12.6,12.2,13,-0.04,18,14,23,-0.18,0,-0.8,6,-0.6
6111,California,Ventura,2011,5903,5432,5250,5613,-0.94,1431,14,12,17,-0.48,1424,3.6,3,4.2,-0.32,1399,15,13,18,0.09,24,20,27,-0.19,17,15,19,-1.23,682,86,1165:1,121505,46,45,47,-0.94,63.5,60,67,-0.13,10,9.9,10.1,-0.79,12,10,13,-1.15,0,-0.8,39,0.44
6113,California,Yolo,2011,1420,5678,5307,6049,-0.8,398,13,10,19,-0.61,394,3.8,2.8,4.8,-0.08,392,8,5,12,-1.6,27,21,34,0.74,24,20,27,0.5,270,137,728:1,17501,47,44,50,-0.89,66.3,56,76,-0.55,11.2,11,11.4,-0.44,15,11,18,-0.69,11,0.2,15,-0.32
6115,California,Yuba,2011,890,9644,8876,10412,1.42,165,20,14,28,0.51,165,3.7,2.5,4.9,-0.2,162,19,11,29,0.88,32,24,41,1.86,21,17,25,-0.16,19,26,3835:1,11843,78,72,83,1.82,61.8,52,72,0.12,17.3,16.9,17.7,1.33,24,18,30,0.69,5,-0.35,1,-0.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Recently, we detected an error in our estimates of Primary Care Physicians.  The number of General Practice Physicians was double counted.  As a result, the estimate of Primary Care Physicians was incorrect.  We have corrected the errors.   The correct estimates of the rate of Primary Care Physicians are available on our website and in the downloadable data files.  The specific county Rankings for 2010 - 2012 will not be recalculated based on the updated data.  The old data that the Rankings are based on is included in all Data Files.  You can find all data files at: http://www.countyhealthrankings.org/rankings/ranking-methods/download-rankings-data",,,,,,,,,,,,,,,,,,,,,,,
